날짜,NAV,시가,고가,저가,종가,거래량,괴리율,추적오차율
2016-12-20,26256.86,26185,26255,26170,26220,2976131,-0.14,2.4
2016-12-21,26206.85,26265,26360,26185,26185,4030759,-0.08,2.4
2016-12-22,26193.27,26205,26235,26150,26170,3339749,-0.09,2.4
2016-12-23,26156.78,26165,26175,26110,26135,5307098,-0.08,2.4
2016-12-26,26185.68,26165,26195,26130,26185,2903870,-0.0,2.4
2016-12-27,26243.98,26170,26240,26170,26225,2498477,-0.07,2.39
2016-12-28,26411.23,26255,26380,26255,26310,10184346,-0.38,2.94
2016-12-29,26445.02,26280,26335,26240,26325,6260945,-0.45,2.49
2017-01-02,26481.65,26320,26485,26230,26415,1777682,-0.25,2.49
2017-01-03,26744.32,26485,26625,26450,26625,3828836,-0.45,2.49
2017-01-04,26758.05,26615,26665,26600,26655,4550625,-0.39,2.49
2017-01-04,26758.05,26615,26665,26600,26655,4550625,-0.39,2.49
2017-01-05,26643.19,26625,26650,26540,26550,6879740,-0.35,2.49
2017-01-06,26766.02,26610,26715,26605,26665,3241985,-0.38,2.49
2017-01-09,26821.42,26700,26770,26675,26730,3023212,-0.34,2.49
2017-01-10,26820.36,26645,26735,26635,26695,5235813,-0.47,2.49
2017-01-11,27267.61,26730,27260,26730,27175,3617022,-0.34,2.49
2017-01-12,27447.1,27210,27295,27175,27245,3631336,-0.74,2.49
2017-01-13,27242.63,27200,27240,27170,27175,1848887,-0.25,2.49
2017-01-16,27063.87,27160,27220,26950,27025,7028957,-0.14,2.49
2017-01-17,27187.91,27055,27225,27055,27130,6350767,-0.21,2.49
2017-01-18,27157.63,27130,27190,26915,27115,3904933,-0.16,2.49
2017-01-19,27220.67,27225,27380,26995,27130,3794203,-0.33,2.49
2017-01-20,27101.39,27040,27115,27015,27090,1935793,-0.04,2.49
2017-01-23,27160.76,27055,27155,26910,27065,3291281,-0.35,2.49
2017-01-24,27179.51,27080,27195,27015,27070,3057338,-0.4,2.49
2017-01-25,27265.72,27245,27260,27075,27170,2351974,-0.35,2.49
2017-01-26,27502.09,27270,27460,27195,27390,2784480,-0.41,2.49
2017-01-31,27262.31,27305,27345,27220,27240,3256829,-0.08,2.5
2017-02-01,27409.9,27295,27345,27270,27320,5871040,-0.33,2.5
2017-02-02,27303.03,27315,27475,27175,27215,3419261,-0.32,2.5
2017-02-03,27342.06,27280,27310,27115,27235,4319389,-0.39,2.5
2017-02-06,27410.06,27465,27500,27255,27300,3398363,-0.4,2.5
2017-02-07,27356.44,27365,27365,27220,27275,3484783,-0.3,2.5
2017-02-08,27229.85,27200,27205,26970,27145,7551318,-0.31,2.49
2017-02-09,27230.08,27180,27265,27105,27185,4029419,-0.17,2.49
2017-02-10,27329.55,27325,27365,27230,27235,2747789,-0.35,2.48
2017-02-13,27345.18,27235,27270,27195,27250,3588001,-0.35,2.49
2017-02-14,27252.78,27330,27330,27110,27175,4028071,-0.29,2.48
2017-02-15,27345.2,27160,27310,27110,27260,3094119,-0.31,2.48
2017-02-16,27356.19,27310,27390,27215,27245,2545134,-0.41,2.48
2017-02-17,27346.46,27160,27285,27160,27245,2829707,-0.37,2.48
2017-02-20,27438.14,27295,27340,27230,27335,2206269,-0.38,2.49
2017-02-21,27679.42,27370,27705,27345,27585,6591186,-0.34,2.48
2017-02-22,27754.02,27620,27680,27590,27640,6794414,-0.41,2.48
2017-02-23,27759.15,27630,27665,27590,27650,3092980,-0.39,2.48
2017-02-24,27502.59,27625,27660,27380,27440,6482411,-0.23,2.48
2017-02-27,27360.44,27430,27465,27265,27315,4687143,-0.17,2.49
2017-02-28,27470.47,27345,27420,27310,27365,3112811,-0.38,2.48
2017-03-02,27736.09,27555,27705,27500,27620,4453594,-0.42,2.49
2017-03-03,27442.4,27505,27525,27275,27355,8438670,-0.32,2.49
2017-03-06,27500.54,27260,27420,27215,27385,5201127,-0.42,2.49
2017-03-07,27649.33,27430,27595,27380,27550,5520691,-0.36,2.49
2017-03-08,27689.7,27520,27660,27470,27600,3562785,-0.32,2.49
2017-03-09,27622.7,27610,27650,27510,27545,5421193,-0.28,2.49
2017-03-10,27690.56,27450,27655,27375,27565,3527103,-0.45,2.49
2017-03-13,28011.15,27620,27960,27610,27875,5173439,-0.49,2.49
2017-03-14,28262.94,27980,28150,27970,28130,9743095,-0.47,2.49
2017-03-15,28264.81,28120,28195,28080,28165,6137903,-0.35,2.49
2017-03-16,28489.17,28480,28535,28320,28370,5787558,-0.42,2.49
2017-03-17,28666.11,28390,28540,28350,28495,3543595,-0.6,2.49
2017-03-20,28555.11,28490,28490,28370,28460,4678513,-0.33,2.49
2017-03-21,28868.45,28565,28825,28510,28735,4389633,-0.46,2.49
2017-03-22,28744.29,28545,28640,28495,28640,7699898,-0.36,2.49
2017-03-23,28762.98,28740,28805,28650,28685,4385025,-0.27,2.49
2017-03-24,28712.35,28710,28795,28570,28640,2707375,-0.25,2.49
2017-03-27,28512.41,28510,28600,28420,28460,8230373,-0.18,2.49
2017-03-28,28602.72,28580,28615,28480,28525,4361528,-0.27,2.49
2017-03-29,28666.2,28645,28665,28535,28620,5477534,-0.16,2.49
2017-03-30,28677.58,28650,28750,28540,28595,3937426,-0.29,2.49
2017-03-31,28574.61,28630,28655,28530,28540,4240701,-0.12,2.49
2017-04-03,28669.85,28615,28710,28555,28610,2293260,-0.21,2.49
2017-04-04,28601.37,28580,28625,28490,28550,2373337,-0.18,2.49
2017-04-05,28583.0,28555,28575,28320,28500,5141489,-0.29,2.49
2017-04-06,28454.78,28420,28420,28265,28390,6615309,-0.23,2.49
2017-04-07,28407.89,28445,28445,28230,28340,6236891,-0.24,2.49
2017-04-10,28226.12,28340,28340,28115,28175,5606867,-0.18,2.49
2017-04-11,28050.51,28120,28190,27965,28060,6295759,0.03,2.49
2017-04-12,28124.8,28065,28085,27995,28075,4510670,-0.18,2.49
2017-04-13,28418.18,28120,28340,28055,28340,4494395,-0.28,2.48
2017-04-14,28234.4,28250,28270,28040,28215,4997183,-0.07,2.48
2017-04-17,28314.44,28255,28375,28210,28275,3806512,-0.14,2.48
2017-04-18,28326.51,28410,28425,28180,28260,3723754,-0.23,2.48
2017-04-19,28150.26,28220,28275,28045,28135,4365773,-0.05,2.48
2017-04-20,28277.91,28060,28255,28025,28255,4327647,-0.08,2.48
2017-04-21,28509.29,28370,28535,28335,28490,4364458,-0.07,2.48
2017-04-24,28699.85,28610,28685,28555,28640,5817326,-0.21,2.48
2017-04-25,29046.51,28665,28955,28650,28930,3291391,-0.4,2.48
2017-04-26,28710.68,29030,29165,29015,29105,3042024,1.37,2.97
2017-04-27,28766.54,28610,28705,28575,28685,5204716,-0.28,2.37
2017-04-28,28752.78,28755,28865,28715,28745,12038877,-0.03,2.37
2017-05-02,28997.67,28865,29145,28850,28970,6582431,-0.1,2.37
2017-05-04,29279.16,29085,29260,29065,29260,7917792,-0.07,2.38
2017-05-08,30021.56,29315,30025,29290,30025,11556741,0.01,2.37
2017-05-10,29749.42,30065,30560,29625,29700,11889522,-0.17,2.4
2017-05-11,30096.52,29855,30135,29755,30070,13264029,-0.09,2.4
2017-05-12,29946.85,30080,30125,29900,29940,7875837,-0.02,2.4
2017-05-15,30010.93,29975,30105,29870,30010,7048613,-0.0,2.4
2017-05-16,30091.0,30205,30290,29920,30050,6893566,-0.14,2.4
2017-05-17,30056.94,29960,30100,29915,30035,11627069,-0.07,2.4
2017-05-18,29970.02,29745,29980,29680,29975,12313977,0.02,2.4
2017-05-19,29930.32,29945,30015,29880,29915,7516977,-0.05,2.4
2017-05-22,30183.56,30115,30170,29995,30155,6589286,-0.09,2.4
2017-05-23,30256.51,30215,30480,30180,30245,12525517,-0.04,2.4
2017-05-24,30292.15,30325,30385,30240,30275,9760393,-0.06,2.4
2017-05-25,30644.8,30425,30650,30340,30630,10920987,-0.05,2.4
2017-05-26,30818.09,30655,30970,30620,30820,13233158,0.01,2.4
2017-05-29,30774.18,30940,31040,30620,30790,9536531,0.05,2.4
2017-05-30,30580.17,30760,30805,30420,30580,12166295,-0.0,2.4
